title,startYear,imdb_score
Interstellar,2014,8.7
The Wolf of Wall Street,2013,8.2
Boyhood,2014,7.9
Teenage Mutant Ninja Turtles,2014,5.8
The Dark Knight Rises,2012,8.4
Mad Max: Fury Road,2015,8.1
Gravity,2013,7.7
The Big Short,2015,7.8
The Revenant,2015,8.0
The Twilight Saga: Breaking Dawn - Part 2,2012,5.6
Her,2013,8.0
Django Unchained,2012,8.5
Spotlight,2015,8.1
12 Years a Slave,2013,8.1
Inside Llewyn Davis,2013,7.4
Inside Out,2015,8.1
The Hunt,2012,8.3
Transformers: Age of Extinction,2014,5.6
The Grand Budapest Hotel,2014,8.1
Fifty Shades of Grey,2015,4.2
Brooklyn,2015,7.5
Carol,2015,7.3
Whiplash,2014,8.5
The Hunt,2012,4.3
Ida,2013,7.4
Nightcrawler,2014,7.8
The Theory of Everything,2014,7.7
Room,2015,8.1
Timbuktu,2014,7.1
The Martian,2015,8.0
Spotlight,2015,7.9
Snow White and the Huntsman,2012,6.1
Maleficent,2014,6.9
The Amazing Spider-Man 2,2014,6.6
Pacific Rim,2013,6.9
World War Z,2013,6.9
